title,platform,score,release_year,release_month,release_day,Rank,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Ratchet & Clank: Full Frontal Assault,PlayStation 3,6.4,2012,12,14,7111,Adventure,Sony Computer Entertainment,0.19,0.01,0.0,0.02,0.23
Sonic & All-Stars Racing Transformed,PlayStation 3,8.6,2012,11,15,3705,Racing,Sega,0.08,0.33,0.01,0.11,0.54
Ni no Kuni: Wrath of the White Witch,PlayStation 3,9.4,2013,1,15,1206,Role-Playing,Namco Bandai Games,0.6,0.51,0.21,0.23,1.55
Family Guy: Back to the Multiverse,PlayStation 3,6.0,2012,11,27,6093,Action,Activision,0.12,0.12,0.0,0.05,0.29
DmC: Devil May Cry,PlayStation 3,8.5,2013,1,14,2520,Action,Capcom,0.24,0.28,0.19,0.12,0.82
Far Cry 3,PlayStation 3,9.0,2012,11,21,383,Shooter,Ubisoft,0.88,1.75,0.1,0.72,3.45
Anarchy Reigns,PlayStation 3,5.9,2013,1,11,7484,Action,Sega,0.1,0.03,0.06,0.02,0.21
PlayStation All-Stars Battle Royale,PlayStation Vita,8.0,2012,11,20,3852,Action,Sony Computer Entertainment,0.26,0.15,0.01,0.1,0.52
LEGO The Lord of the Rings,PlayStation 3,6.8,2012,11,26,1855,Action,Warner Bros. Interactive Entertainment,0.36,0.53,0.0,0.21,1.1
PlayStation All-Stars Battle Royale,PlayStation 3,8.0,2012,11,20,2153,Action,Sony Computer Entertainment,0.5,0.28,0.04,0.14,0.96
Return Fire,PlayStation,7.0,1996,11,25,10961,Strategy,Time Warner Interactive,0.05,0.03,0.0,0.01,0.09
Robo Pit,PlayStation,6.5,1996,11,25,14526,Fighting,Kokopeli Digital Studios,0.02,0.01,0.0,0.0,0.03
NBA ShootOut,PlayStation,6.0,1996,11,25,5709,Sports,Sony Computer Entertainment,0.17,0.12,0.0,0.02,0.31
Beyond The Beyond,PlayStation,4.0,1996,11,21,3522,Role-Playing,Sony Computer Entertainment,0.11,0.08,0.35,0.04,0.57
Crash Bandicoot,PlayStation,7.5,1996,11,21,117,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82
D,PlayStation,7.0,1996,11,21,10418,Adventure,Acclaim Entertainment,0.0,0.0,0.1,0.01,0.11
Assault Rigs,PlayStation,6.0,1996,11,21,13480,Action,Electronic Arts Victor,0.02,0.02,0.0,0.0,0.04
ESPN Extreme Games,PlayStation,5.0,1996,11,21,5016,Sports,Sony Computer Entertainment,0.11,0.08,0.17,0.03,0.38
Bottom of the 9th,PlayStation,8.0,1996,11,21,9192,Sports,Konami Digital Entertainment,0.08,0.05,0.0,0.01,0.14
Adidas Power Soccer,PlayStation,7.0,1996,11,21,13911,Sports,Psygnosis,0.02,0.01,0.0,0.0,0.04
Agile Warrior F-111X,PlayStation,2.0,1996,11,21,9209,Simulation,Virgin Interactive,0.08,0.05,0.0,0.01,0.14
Alien Trilogy,PlayStation,8.0,1996,11,21,4150,Shooter,Acclaim Entertainment,0.24,0.16,0.04,0.03,0.47
Fade to Black,PlayStation,7.0,1996,11,21,5434,Action,Electronic Arts,0.19,0.13,0.0,0.02,0.34
Die Hard Trilogy,PlayStation,7.5,1996,11,21,1218,Shooter,Fox Interactive,0.85,0.58,0.0,0.1,1.54
Discworld,PlayStation,7.0,1996,11,21,12265,Adventure,Psygnosis,0.04,0.02,0.0,0.0,0.06
Battle Arena Toshinden 2,PlayStation,6.0,1996,11,21,2892,Fighting,Sony Computer Entertainment,0.15,0.1,0.41,0.05,0.71
A-Train,PlayStation,6.0,1996,11,21,11531,Simulation,Sony Computer Entertainment,0.02,0.01,0.04,0.01,0.08
Road & Track Presents: The Need for Speed,PlayStation,7.0,1996,11,25,2070,Racing,Electronic Arts,0.56,0.38,0.0,0.07,1.0
