title,platform,score,release_year,release_month,release_day,Rank,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
NFL GameDay 2004,PlayStation 2,8.0,2003,8,27,4682,Sports,Sony Computer Entertainment,0.2,0.16,0.0,0.05,0.41,65,25,8.7,6
Disgaea: Hour of Darkness,PlayStation 2,9.2,2003,8,26,5526,Role-Playing,Tecmo Koei,0.16,0.13,0.0,0.04,0.33,84,42,8.9,74
Bombastic,PlayStation 2,8.5,2003,8,26,12843,Puzzle,Capcom,0.03,0.02,0.0,0.01,0.05,72,24,7.2,6
Cabela's Deer Hunt: 2004 Season,PlayStation 2,7.4,2003,8,26,2687,Sports,Activision Value,0.37,0.29,0.0,0.1,0.76,,,9,40
NHL 2004,PlayStation 2,8.8,2003,9,24,2139,Sports,Electronic Arts,0.47,0.37,0.0,0.12,0.97,85,19,7.6,53
NHL Hitz Pro,PlayStation 2,8.6,2003,9,24,7827,Sports,Midway Games,0.09,0.07,0.0,0.02,0.19,79,23,8.9,13
Dynasty Tactics 2,PlayStation 2,8.3,2003,9,23,10281,Strategy,Tecmo Koei,0.05,0.04,0.0,0.01,0.11,78,18,9.1,13
NASCAR Thunder 2004,PlayStation 2,8.8,2003,9,22,1895,Racing,Electronic Arts,0.53,0.41,0.0,0.14,1.08,88,15,8.9,77
Freedom Fighters,PlayStation 2,8.4,2003,9,22,3860,Shooter,Electronic Arts,0.25,0.2,0.0,0.07,0.52,81,26,8.4,57
Wallace & Gromit in Project Zoo,PlayStation 2,6.7,2003,10,7,6959,Platform,BAM! Entertainment,0.11,0.09,0.0,0.03,0.23,,,,
Robin Hood: Defender of the Crown,PlayStation 2,7.1,2003,10,7,7963,Strategy,Capcom,0.09,0.07,0.0,0.02,0.19,59,18,5.6,5
RoadKill,PlayStation 2,7.7,2003,10,14,8304,Action,Midway Games,0.08,0.07,0.0,0.02,0.17,71,27,7.9,11
NBA Live 2004,PlayStation 2,8.8,2003,10,14,841,Sports,Electronic Arts,1.57,0.18,0.0,0.27,2.03,86,19,7.7,41
Mega Man X7,PlayStation 2,6.7,2003,10,14,3439,Action,Capcom,0.22,0.17,0.14,0.06,0.58,58,30,5.1,38
Lethal Skies II,PlayStation 2,7.7,2003,9,11,8508,Simulation,Sammy Corporation,0.08,0.06,0.0,0.02,0.16,73,26,tbd,
ESPN NHL Hockey,PlayStation 2,9.3,2003,9,9,7015,Sports,Sega,0.11,0.09,0.0,0.03,0.23,90,19,7,22
Tiger Woods PGA Tour 2004,PlayStation 2,9.1,2003,9,22,1130,Sports,Electronic Arts,1.18,0.34,0.0,0.1,1.63,89,23,8.8,40
Starsky & Hutch,PlayStation 2,5.5,2003,9,9,2270,Racing,Empire Interactive,0.45,0.35,0.0,0.12,0.92,,,,
Rugby 2004,PlayStation 2,7.3,2003,9,17,7271,Sports,Electronic Arts,0.11,0.08,0.0,0.03,0.22,61,13,6.8,65
The Simpsons: Hit & Run,PlayStation 2,8.0,2003,9,16,225,Racing,Vivendi Games,1.73,2.19,0.0,0.79,4.7,,,,
Jak II,PlayStation 2,9.5,2003,10,9,538,Platform,Sony Computer Entertainment,1.68,0.74,0.0,0.36,2.78,87,47,8.2,241
Backyard Wrestling: Don't Try This at Home,PlayStation 2,6.5,2003,10,8,3341,Fighting,Eidos Interactive,0.3,0.23,0.0,0.08,0.6,51,24,7.8,29
ESPN NFL Football,PlayStation 2,9.3,2003,9,4,3610,Sports,Sega,0.27,0.21,0.0,0.07,0.56,91,20,8.5,25
DDRMAX2: Dance Dance Revolution,PlayStation 2,8.5,2003,10,7,960,Simulation,Konami Digital Entertainment,1.05,0.59,0.0,0.18,1.81,82,27,8.2,11
Castlevania: Lament of Innocence,PlayStation 2,9.0,2003,10,20,2205,Action,Konami Digital Entertainment,0.46,0.36,0.0,0.12,0.94,79,45,8.4,74
SWAT: Global Strike Team,PlayStation 2,6.6,2003,10,27,5585,Shooter,Vivendi Games,0.16,0.12,0.0,0.04,0.32,69,21,7.8,16
Batman: Rise of Sin Tzu,PlayStation 2,6.5,2003,10,17,5284,Action,Ubisoft,0.17,0.13,0.0,0.05,0.35,63,21,8.3,14
SSX 3,PlayStation 2,9.5,2003,10,17,1085,Sports,Electronic Arts,0.93,0.52,0.0,0.22,1.67,93,41,9.1,125
