title,platform,score,release_year,release_month,release_day,Rank,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Call of Duty: Black Ops II,Wii U,9.3,2012,11,21,4556,Shooter,Activision,0.21,0.18,0.0,0.03,0.43
Rabbids Land,Wii U,5.0,2012,11,21,13917,Misc,Ubisoft,0.02,0.01,0.0,0.0,0.04
Far Cry 3,PC,9.0,2012,11,21,2108,Shooter,Ubisoft,0.21,0.62,0.0,0.14,0.98
Madden NFL 13,Wii U,8.3,2012,11,21,6794,Sports,Electronic Arts,0.22,0.0,0.0,0.02,0.24
Far Cry 3,PlayStation 3,9.0,2012,11,21,383,Shooter,Ubisoft,0.88,1.75,0.1,0.72,3.45
LEGO The Lord of the Rings,Xbox 360,6.8,2012,11,26,1582,Action,Warner Bros. Interactive Entertainment,0.63,0.51,0.0,0.11,1.26
DmC: Devil May Cry,Xbox 360,8.9,2013,1,14,4431,Action,Capcom,0.26,0.13,0.01,0.04,0.44
Anarchy Reigns,Xbox 360,5.9,2013,1,11,8454,Action,Sega,0.11,0.02,0.02,0.01,0.17
Anarchy Reigns,PlayStation 3,5.9,2013,1,11,7484,Action,Sega,0.1,0.03,0.06,0.02,0.21
Far Cry 3,Xbox 360,9.0,2012,11,21,460,Shooter,Ubisoft,1.38,1.35,0.02,0.28,3.04
Assassin's Creed III,Wii U,8.5,2012,11,20,5201,Action,Ubisoft,0.19,0.13,0.0,0.03,0.36
PlayStation All-Stars Battle Royale,PlayStation Vita,8.0,2012,11,20,3852,Action,Sony Computer Entertainment,0.26,0.15,0.01,0.1,0.52
LEGO The Lord of the Rings,PlayStation 3,6.8,2012,11,26,1855,Action,Warner Bros. Interactive Entertainment,0.36,0.53,0.0,0.21,1.1
Sonic & All-Stars Racing Transformed,Wii U,8.8,2012,11,30,3795,Racing,Sega,0.2,0.27,0.02,0.05,0.53
PlayStation All-Stars Battle Royale,PlayStation 3,8.0,2012,11,20,2153,Action,Sony Computer Entertainment,0.5,0.28,0.04,0.14,0.96
NBA 2K13,Wii U,9.1,2012,11,20,9228,Sports,Take-Two Interactive,0.08,0.04,0.0,0.01,0.14
Return Fire,PlayStation,7.0,1996,11,25,10961,Strategy,Time Warner Interactive,0.05,0.03,0.0,0.01,0.09
Robo Pit,PlayStation,6.5,1996,11,25,14526,Fighting,Kokopeli Digital Studios,0.02,0.01,0.0,0.0,0.03
NBA ShootOut,PlayStation,6.0,1996,11,25,5709,Sports,Sony Computer Entertainment,0.17,0.12,0.0,0.02,0.31
Beyond The Beyond,PlayStation,4.0,1996,11,21,3522,Role-Playing,Sony Computer Entertainment,0.11,0.08,0.35,0.04,0.57
Crash Bandicoot,PlayStation,7.5,1996,11,21,117,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82
D,PlayStation,7.0,1996,11,21,10418,Adventure,Acclaim Entertainment,0.0,0.0,0.1,0.01,0.11
Assault Rigs,PlayStation,6.0,1996,11,21,13480,Action,Electronic Arts Victor,0.02,0.02,0.0,0.0,0.04
ESPN Extreme Games,PlayStation,5.0,1996,11,21,5016,Sports,Sony Computer Entertainment,0.11,0.08,0.17,0.03,0.38
Bottom of the 9th,PlayStation,8.0,1996,11,21,9192,Sports,Konami Digital Entertainment,0.08,0.05,0.0,0.01,0.14
Adidas Power Soccer,PlayStation,7.0,1996,11,21,13911,Sports,Psygnosis,0.02,0.01,0.0,0.0,0.04
Agile Warrior F-111X,PlayStation,2.0,1996,11,21,9209,Simulation,Virgin Interactive,0.08,0.05,0.0,0.01,0.14
Alien Trilogy,PlayStation,8.0,1996,11,21,4150,Shooter,Acclaim Entertainment,0.24,0.16,0.04,0.03,0.47
Fade to Black,PlayStation,7.0,1996,11,21,5434,Action,Electronic Arts,0.19,0.13,0.0,0.02,0.34
Die Hard Trilogy,PlayStation,7.5,1996,11,21,1218,Shooter,Fox Interactive,0.85,0.58,0.0,0.1,1.54
Discworld,PlayStation,7.0,1996,11,21,12265,Adventure,Psygnosis,0.04,0.02,0.0,0.0,0.06
Battle Arena Toshinden 2,PlayStation,6.0,1996,11,21,2892,Fighting,Sony Computer Entertainment,0.15,0.1,0.41,0.05,0.71
A-Train,PlayStation,6.0,1996,11,21,11531,Simulation,Sony Computer Entertainment,0.02,0.01,0.04,0.01,0.08
Road & Track Presents: The Need for Speed,PlayStation,7.0,1996,11,25,2070,Racing,Electronic Arts,0.56,0.38,0.0,0.07,1.0
Romance of the Three Kingdoms IV: Wall of Fire,PlayStation,6.0,1996,11,25,9462,Strategy,Tecmo Koei,0.05,0.03,0.04,0.01,0.13
Rayman,PlayStation,7.0,1996,11,25,463,Platform,Ubisoft,1.54,1.33,0.0,0.16,3.03
Andretti Racing,PlayStation,8.0,1996,11,21,2663,Racing,Electronic Arts,0.43,0.29,0.0,0.05,0.77
Discworld,PlayStation,7.0,1996,11,21,12265,Adventure,Psygnosis,0.04,0.02,0.0,0.0,0.06
Die Hard Trilogy,PlayStation,7.5,1996,11,21,1218,Shooter,Fox Interactive,0.85,0.58,0.0,0.1,1.54
Gunship,PlayStation,3.0,1996,11,25,6302,Simulation,Microprose,0.15,0.1,0.0,0.02,0.27
Revolution X,PlayStation,1.0,1996,11,25,10497,Shooter,Acclaim Entertainment,0.06,0.04,0.0,0.01,0.1
Shockwave Assault,PlayStation,4.0,1996,11,25,10907,Simulation,Electronic Arts,0.05,0.04,0.0,0.01,0.09
HardBall 5,PlayStation,4.0,1996,11,25,9888,Sports,SPS,0.07,0.04,0.0,0.01,0.12
WipEout XL,PlayStation,9.0,1996,11,26,6657,Racing,Psygnosis,0.14,0.1,0.0,0.02,0.25
WipEout,PlayStation,8.0,1996,11,26,4167,Action,Psygnosis,0.26,0.18,0.0,0.03,0.47
Battle Arena Toshinden,PlayStation,7.0,1996,11,21,1569,Fighting,Sony Computer Entertainment,0.39,0.26,0.53,0.08,1.27
Destruction Derby,PlayStation,7.0,1996,11,21,2304,Racing,Psygnosis,0.5,0.34,0.0,0.06,0.9
Aquanaut's Holiday,PlayStation,8.0,1996,11,21,15317,Adventure,Sony Computer Entertainment,0.01,0.01,0.0,0.0,0.02
Air Combat,PlayStation,7.0,1996,11,21,952,Simulation,Sony Computer Entertainment,0.92,0.33,0.52,0.05,1.83
Descent,PlayStation,7.0,1996,11,21,7799,Shooter,Interplay,0.11,0.07,0.0,0.01,0.19
Cyber Sled,PlayStation,5.0,1996,11,21,9243,Action,Sony Computer Entertainment,0.0,0.0,0.13,0.01,0.14
The King of Fighters '95,PlayStation,5.0,1996,11,25,8303,Fighting,Sony Computer Entertainment,0.0,0.0,0.16,0.01,0.17
Jumping Flash! 2,PlayStation,8.0,1996,11,25,6753,Platform,Sony Computer Entertainment,0.05,0.03,0.15,0.02,0.25
Epidemic,PlayStation,4.0,1996,11,25,9164,Shooter,Sony Computer Entertainment,0.02,0.01,0.1,0.01,0.14
Philosoma,PlayStation,5.0,1996,11,25,13090,Shooter,Sony Computer Entertainment,0.03,0.02,0.0,0.0,0.05
