title,platform,score,release_year,release_month,release_day,Rank,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Icewind Dale II,PC,9.0,2002,9,5,16358,Role-Playing,Interplay,0.0,0.01,0.0,0.0,0.01
Mafia,PC,9.2,2002,8,29,13370,Action,Take-Two Interactive,0.0,0.04,0.0,0.01,0.05
Battlefield 1942,PC,9.3,2002,9,16,14875,Shooter,Electronic Arts,0.01,0.01,0.0,0.0,0.03
Unreal Tournament 2003,PC,9.0,2002,9,27,16020,Shooter,Atari,0.0,0.01,0.0,0.0,0.01
RollerCoaster Tycoon 2,PC,8.0,2002,10,4,1595,Strategy,Atari,1.19,0.05,0.0,0.0,1.25
The Sims: Unleashed,PC,7.0,2002,10,3,329,Simulation,Electronic Arts,2.03,1.56,0.0,0.17,3.76
Syberia,PC,7.1,2002,10,10,14581,Action,Microids,0.0,0.02,0.0,0.0,0.03
Age of Mythology,PC,9.3,2002,11,4,11149,Strategy,Microsoft Game Studios,0.02,0.06,0.0,0.01,0.09
Harry Potter and the Chamber of Secrets,PC,8.0,2002,11,26,16146,Action,Electronic Arts,0.0,0.01,0.0,0.0,0.01
SimCity 4,PC,9.2,2003,1,14,5921,Simulation,Electronic Arts,0.01,0.24,0.0,0.05,0.3
Freelancer,PC,9.2,2003,2,26,13181,Simulation,Microsoft Game Studios,0.02,0.02,0.0,0.01,0.05
Post Mortem,PC,7.9,2003,2,25,15711,Adventure,Microids,0.0,0.01,0.0,0.0,0.02
Praetorians,PC,8.9,2003,3,13,13496,Strategy,Eidos Interactive,0.0,0.04,0.0,0.0,0.04
Vietcong,PC,7.0,2003,3,31,15457,Shooter,Gathering of Developers,0.0,0.02,0.0,0.0,0.02
Rayman 3: Hoodlum Havoc,PC,8.3,2003,4,10,14391,Platform,Ubisoft,0.0,0.03,0.0,0.01,0.03
Grand Theft Auto: Vice City,PC,9.3,2003,5,22,13734,Action,Take-Two Interactive,0.0,0.03,0.0,0.01,0.04
Rise of Nations,PC,8.2,2003,5,21,13694,Strategy,Microsoft Game Studios,0.01,0.02,0.0,0.01,0.04
The Sims: Superstar,PC,8.3,2003,6,6,1080,Simulation,Electronic Arts,1.67,0.0,0.0,0.0,1.68
Microsoft Flight Simulator 2004: A Century of Flight,PC,9.0,2003,7,30,11974,Simulation,Microsoft Game Studios,0.0,0.06,0.0,0.01,0.07
EVE Online,PC,8.0,2003,6,23,7308,Role-Playing,CCP,0.0,0.19,0.0,0.02,0.22
Warcraft III: The Frozen Throne,PC,9.0,2003,7,1,1214,Strategy,Activision,0.58,0.87,0.0,0.09,1.54
Star Wars Jedi Knight: Jedi Academy,PC,8.8,2003,9,15,14091,Shooter,Activision,0.0,0.03,0.0,0.01,0.04
Homeworld 2,PC,9.0,2003,9,16,14384,Strategy,Vivendi Games,0.0,0.03,0.0,0.01,0.03
Age of Mythology: The Titans,PC,8.9,2003,9,29,14003,Strategy,Microsoft Game Studios,0.01,0.02,0.0,0.0,0.04
Halo: Combat Evolved,PC,8.2,2003,9,27,13886,Shooter,Microsoft Game Studios,0.01,0.02,0.0,0.01,0.04
Max Payne 2: The Fall of Max Payne,PC,9.4,2003,10,16,14725,Shooter,Take-Two Interactive,0.0,0.02,0.0,0.0,0.03
Commandos 3: Destination Berlin,PC,8.9,2003,10,15,15495,Strategy,Eidos Interactive,0.0,0.02,0.0,0.0,0.02
The Sims: Makin' Magic,PC,8.2,2003,10,29,900,Simulation,Electronic Arts,1.03,0.8,0.0,0.09,1.92
Need for Speed Underground,PC,9.0,2003,11,14,13227,Racing,Electronic Arts,0.0,0.04,0.0,0.01,0.05
Railroad Tycoon 3,PC,8.8,2003,11,6,13948,Strategy,Gathering of Developers,0.0,0.03,0.0,0.01,0.04
Uru: Ages Beyond Myst,PC,9.0,2003,12,4,15513,Adventure,Ubisoft,0.0,0.02,0.0,0.0,0.02
Legacy of Kain: Defiance,PC,8.0,2003,12,18,16450,Action,Eidos Interactive,0.0,0.01,0.0,0.0,0.01
Lock On: Modern Air Combat,PC,7.8,2003,12,19,14369,Simulation,Ubisoft,0.0,0.03,0.0,0.01,0.03
Unreal Tournament 2004,PC,9.4,2004,3,11,15674,Shooter,Atari,0.0,0.01,0.0,0.0,0.02
Far Cry,PC,9.2,2004,3,19,13252,Shooter,Ubisoft,0.0,0.04,0.0,0.01,0.05
Syberia II,PC,8.6,2004,3,17,15695,Adventure,MC2 Entertainment,0.0,0.01,0.0,0.0,0.02
Battlefield Vietnam,PC,8.2,2004,3,16,14658,Shooter,Electronic Arts,0.0,0.02,0.0,0.0,0.03
Painkiller,PC,7.0,2004,4,12,15254,Shooter,DreamCatcher Interactive,0.0,0.02,0.0,0.0,0.02
Harry Potter and the Prisoner of Azkaban,PC,6.0,2004,6,9,13907,Action,Electronic Arts,0.0,0.03,0.0,0.01,0.04
Doom 3,PC,8.9,2004,8,5,10574,Shooter,Activision,0.05,0.04,0.0,0.01,0.1
The Sims 2,PC,9.4,2004,9,10,5871,Simulation,Electronic Arts,0.02,0.24,0.0,0.05,0.3
Knights of Honor,PC,7.7,2004,10,1,14418,Strategy,Sunflowers,0.0,0.02,0.0,0.01,0.03
Rome: Total War,PC,9.4,2004,9,22,10489,Strategy,Activision,0.0,0.08,0.0,0.02,0.1
"Warhammer 40,000: Dawn of War",PC,8.8,2004,9,20,13141,Strategy,THQ,0.01,0.03,0.0,0.01,0.05
Evil Genius,PC,7.8,2004,9,28,15915,Strategy,Vivendi Games,0.0,0.01,0.0,0.0,0.02
Tiger Woods PGA Tour 2005,PC,9.0,2004,9,27,16165,Sports,Electronic Arts,0.0,0.01,0.0,0.0,0.01
Half-Life 2,PC,9.7,2004,11,15,667,Shooter,Vivendi Games,2.28,0.02,0.08,0.0,2.37
Need for Speed Underground 2,PC,9.1,2004,11,12,11666,Racing,Electronic Arts,0.0,0.06,0.0,0.01,0.08
RollerCoaster Tycoon 3,PC,8.5,2004,10,27,6209,Strategy,Atari,0.01,0.22,0.0,0.05,0.28
Colin McRae Rally 2005,PC,9.1,2004,11,19,15788,Racing,Codemasters,0.0,0.01,0.0,0.0,0.02
Zoo Tycoon 2,PC,7.5,2004,11,17,12552,Strategy,Microsoft Game Studios,0.0,0.05,0.0,0.01,0.06
