title,platform,score,release_year,release_month,release_day,Rank,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
Harry Potter and the Order of the Phoenix,Wii,7.8,2007,6,21,4080,Action,Electronic Arts,0.38,0.06,0.0,0.04,0.49,51,15,4.9,19
Dragon Ball Z: Harukanaru Densetsu,Nintendo DS,7.5,2007,6,18,7456,Role-Playing,Namco Bandai Games,0.19,0.0,0.0,0.02,0.21,57,16,6.2,10
Mario Strikers Charged,Wii,8.3,2007,7,27,582,Sports,Nintendo,1.07,1.06,0.24,0.25,2.62,79,47,8,124
Alien Syndrome,Wii,5.5,2007,7,25,12363,Role-Playing,Sega,0.06,0.0,0.0,0.0,0.06,51,20,6,9
Escape from Bug Island,Wii,4.0,2007,8,13,12267,Action,Eidos Interactive,0.04,0.01,0.01,0.0,0.06,37,13,5,25
Ultimate Puzzle Games: Sudoku Edition,Nintendo DS,7.0,2007,8,13,9957,Puzzle,Telegames,0.11,0.0,0.0,0.01,0.12,,,tbd,
Platinum Sudoku,Nintendo DS,7.5,2007,8,13,13621,Puzzle,Ubisoft,0.03,0.01,0.0,0.0,0.04,,,tbd,
Heroes of Mana,Nintendo DS,8.0,2007,8,9,8781,Strategy,Square Enix,0.08,0.01,0.05,0.01,0.15,66,32,tbd,
Dynasty Warriors DS: Fighter's Battle,Nintendo DS,5.9,2007,8,1,12085,Action,Tecmo Koei,0.04,0.0,0.03,0.0,0.07,56,17,tbd,
Glory Days 2,Nintendo DS,8.0,2007,8,1,10795,Strategy,Ghostlight,0.08,0.0,0.0,0.01,0.1,73,28,7.3,6
Picross DS,Nintendo DS,9.0,2007,7,31,3925,Puzzle,Nintendo,0.17,0.02,0.3,0.02,0.51,83,33,8.7,36
Madden NFL 08,Nintendo DS,7.4,2007,8,15,6398,Sports,Electronic Arts,0.24,0.0,0.0,0.02,0.27,78,11,7.8,17
Drake & Josh: Talent Showdown,Nintendo DS,3.5,2007,8,15,14566,Adventure,THQ,0.03,0.0,0.0,0.0,0.03,,,,
Luminous Arc,Nintendo DS,7.5,2007,8,15,6850,Role-Playing,Rising Star Games,0.16,0.0,0.06,0.01,0.24,70,25,7,24
High School Musical: Makin' the Cut!,Nintendo DS,7.5,2007,8,14,741,Puzzle,Disney Interactive Studios,1.06,0.91,0.0,0.23,2.2,,,,
Madden NFL 08,Wii,8.5,2007,8,13,2329,Sports,Electronic Arts,0.82,0.01,0.0,0.07,0.89,78,11,7.8,17
Metroid Prime 3: Corruption,Wii,9.5,2007,8,27,957,Shooter,Nintendo,0.91,0.74,0.07,0.09,1.82,90,62,8.9,491
Bratz Ponyz,Nintendo DS,6.0,2007,8,21,6116,Adventure,Game Factory,0.26,0.0,0.0,0.02,0.28,,,tbd,
Brain Age 2: More Training in Minutes a Day,Nintendo DS,8.0,2007,8,20,28,Puzzle,Nintendo,3.44,5.36,5.32,1.18,15.3,77,37,7.1,19
Rune Factory: A Fantasy Harvest Moon,Nintendo DS,8.4,2007,8,17,3621,Role-Playing,Rising Star Games,0.37,0.02,0.14,0.03,0.56,78,26,8.1,52
Worms: Open Warfare 2,Nintendo DS,8.7,2007,8,31,5229,Strategy,THQ,0.07,0.25,0.0,0.04,0.36,80,26,8.1,25
Tiger Woods PGA Tour 08,Wii,7.1,2007,8,28,2017,Sports,Electronic Arts,0.94,0.02,0.0,0.08,1.03,72,24,7,22
Tiger Woods PGA Tour 08,Nintendo DS,8.3,2007,8,28,12649,Sports,Electronic Arts,0.05,0.0,0.0,0.0,0.06,72,24,7,22
Pony Friends,Nintendo DS,7.0,2007,9,5,13001,Simulation,Eidos Interactive,0.0,0.05,0.0,0.01,0.05,67,8,6.6,12
Vegas Casino,Nintendo DS,2.0,2007,9,4,14321,Misc,Neko Entertainment,0.03,0.0,0.0,0.0,0.03,,,tbd,
The Settlers,Nintendo DS,4.0,2007,9,10,10062,Action,Ubisoft,0.1,0.0,0.0,0.01,0.11,39,6,5.6,7
Drawn to Life,Nintendo DS,7.9,2007,9,10,2619,Action,THQ,0.71,0.02,0.0,0.06,0.79,73,34,8.2,30
MySims,Nintendo DS,6.9,2007,9,18,338,Simulation,Electronic Arts,1.59,1.61,0.08,0.41,3.69,67,15,7.3,13
MySims,Wii,7.0,2007,9,18,1082,Simulation,Electronic Arts,0.91,0.55,0.04,0.17,1.68,67,15,7.3,13
Sonic Rush Adventure,Nintendo DS,8.0,2007,9,17,1726,Platform,Sega,0.54,0.49,0.01,0.12,1.17,78,32,8.2,66
Carnival Games,Wii,6.5,2007,9,17,287,Misc,Take-Two Interactive,2.13,1.5,0.05,0.42,4.1,56,27,6,44
The Legend of Zelda: Phantom Hourglass,Nintendo DS,9.0,2007,9,25,187,Action,Nintendo,1.9,1.83,0.95,0.49,5.17,90,57,8,416
Pool Party,Wii,2.4,2007,9,21,13330,Sports,SouthPeak Games,0.04,0.0,0.0,0.0,0.05,32,13,0.7,6
Brunswick Pro Bowling,Wii,5.5,2007,10,1,4891,Sports,505 Games,0.36,0.01,0.0,0.03,0.39,,,tbd,
Zoey 101: Field Trip Fiasco,Nintendo DS,3.5,2007,9,28,15841,Action,THQ,0.02,0.0,0.0,0.0,0.02,31,4,tbd,
Namco Museum DS,Nintendo DS,7.2,2007,9,27,1441,Misc,Atari,1.18,0.01,0.06,0.09,1.35,67,19,5.9,8
Dragon Blade: Wrath of Fire,Wii,5.6,2007,10,3,7982,Action,D3Publisher,0.17,0.0,0.0,0.01,0.19,51,19,7.5,17
