title,platform,score,release_year,release_month,release_day,Rank,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
Call of Duty: Modern Warfare 3,Xbox 360,9.0,2011,11,8,30,Shooter,Activision,9.03,4.28,0.13,1.32,14.76,88,81,3.4,8713
Sonic Generations,Xbox 360,8.5,2011,10,28,1361,Platform,Sega,0.71,0.57,0.0,0.14,1.42,76,38,8.2,253
Assassin's Creed: Revelations,Xbox 360,8.5,2011,11,14,274,Action,Ubisoft,2.25,1.47,0.04,0.43,4.19,80,39,7.5,613
Halo: Combat Evolved Anniversary,Xbox 360,8.0,2011,11,14,633,Shooter,Microsoft Game Studios,1.44,0.73,0.04,0.22,2.44,82,73,8.1,487
Need for Speed: The Run,Xbox 360,6.5,2011,11,14,1413,Action,Electronic Arts,0.63,0.58,0.0,0.15,1.38,64,48,6.4,182
Saints Row: The Third,Xbox 360,8.5,2011,11,11,544,Action,THQ,1.25,1.15,0.07,0.3,2.77,84,70,7.6,490
The Elder Scrolls V: Skyrim,Xbox 360,9.5,2011,11,10,76,Role-Playing,Bethesda Softworks,5.03,2.86,0.1,0.85,8.84,96,89,8.4,3589
The King of Fighters XIII,Xbox 360,7.0,2011,11,22,5450,Fighting,Rising Star Games,0.23,0.07,0.01,0.03,0.33,79,31,8.2,51
Cartoon Network: Punch Time Explosion XL,Xbox 360,5.0,2011,12,13,11829,Fighting,Crave Entertainment,0.07,0.0,0.0,0.0,0.07,,,,
WWE '12,Xbox 360,9.0,2011,11,17,1560,Fighting,THQ,0.74,0.4,0.0,0.12,1.27,71,52,6.3,89
Self-Defense Training Camp,Xbox 360,1.0,2011,11,22,9896,Sports,Ubisoft,0.08,0.03,0.0,0.01,0.12,21,5,5,25
The Black Eyed Peas Experience,Xbox 360,6.0,2011,11,15,5534,Misc,Ubisoft,0.2,0.1,0.0,0.03,0.33,,,tbd,
Air Conflicts: Secret Wars,Xbox 360,6.0,2011,11,15,11304,Simulation,bitComposer Games,0.06,0.02,0.0,0.01,0.08,51,8,tbd,
NeverDead,Xbox 360,3.0,2012,1,31,10691,Shooter,Konami Digital Entertainment,0.06,0.03,0.0,0.01,0.1,50,32,4.7,47
Final Fantasy XIII-2,Xbox 360,8.0,2012,1,27,2770,Role-Playing,Square Enix,0.36,0.3,0.02,0.06,0.74,79,53,6.6,707
