title,platform,score,release_year,release_month,release_day,Rank,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
Grand Theft Auto: Vice City,PC,9.3,2003,5,22,13734,Action,Take-Two Interactive,0.0,0.03,0.0,0.01,0.04,94,30,8.8,1520
Rise of Nations,PC,8.2,2003,5,21,13694,Strategy,Microsoft Game Studios,0.01,0.02,0.0,0.01,0.04,89,30,9,274
The Sims: Superstar,PC,8.3,2003,6,6,1080,Simulation,Electronic Arts,1.67,0.0,0.0,0.0,1.68,79,20,8.2,25
Microsoft Flight Simulator 2004: A Century of Flight,PC,9.0,2003,7,30,11974,Simulation,Microsoft Game Studios,0.0,0.06,0.0,0.01,0.07,88,22,8.2,49
EVE Online,PC,8.0,2003,6,23,7308,Role-Playing,CCP,0.0,0.19,0.0,0.02,0.22,69,22,7.5,280
Warcraft III: The Frozen Throne,PC,9.0,2003,7,1,1214,Strategy,Activision,0.58,0.87,0.0,0.09,1.54,88,23,9,713
Star Wars Jedi Knight: Jedi Academy,PC,8.8,2003,9,15,14091,Shooter,Activision,0.0,0.03,0.0,0.01,0.04,76,30,8.7,30
Homeworld 2,PC,9.0,2003,9,16,14384,Strategy,Vivendi Games,0.0,0.03,0.0,0.01,0.03,83,31,8.3,128
Age of Mythology: The Titans,PC,8.9,2003,9,29,14003,Strategy,Microsoft Game Studios,0.01,0.02,0.0,0.0,0.04,84,25,8.7,119
Halo: Combat Evolved,PC,8.2,2003,9,27,13886,Shooter,Microsoft Game Studios,0.01,0.02,0.0,0.01,0.04,83,40,7.4,396
Max Payne 2: The Fall of Max Payne,PC,9.4,2003,10,16,14725,Shooter,Take-Two Interactive,0.0,0.02,0.0,0.0,0.03,73,27,8.2,63
Commandos 3: Destination Berlin,PC,8.9,2003,10,15,15495,Strategy,Eidos Interactive,0.0,0.02,0.0,0.0,0.02,72,24,7.6,83
The Sims: Makin' Magic,PC,8.2,2003,10,29,900,Simulation,Electronic Arts,1.03,0.8,0.0,0.09,1.92,80,22,8.6,31
Need for Speed Underground,PC,9.0,2003,11,14,13227,Racing,Electronic Arts,0.0,0.04,0.0,0.01,0.05,85,33,8.6,171
Railroad Tycoon 3,PC,8.8,2003,11,6,13948,Strategy,Gathering of Developers,0.0,0.03,0.0,0.01,0.04,80,19,7.7,57
Uru: Ages Beyond Myst,PC,9.0,2003,12,4,15513,Adventure,Ubisoft,0.0,0.02,0.0,0.0,0.02,79,22,7.6,29
Legacy of Kain: Defiance,PC,8.0,2003,12,18,16450,Action,Eidos Interactive,0.0,0.01,0.0,0.0,0.01,75,34,9.3,49
Lock On: Modern Air Combat,PC,7.8,2003,12,19,14369,Simulation,Ubisoft,0.0,0.03,0.0,0.01,0.03,76,20,7.5,549
Unreal Tournament 2004,PC,9.4,2004,3,11,15674,Shooter,Atari,0.0,0.01,0.0,0.0,0.02,93,48,8.9,537
Far Cry,PC,9.2,2004,3,19,13252,Shooter,Ubisoft,0.0,0.04,0.0,0.01,0.05,89,72,8.1,724
Syberia II,PC,8.6,2004,3,17,15695,Adventure,MC2 Entertainment,0.0,0.01,0.0,0.0,0.02,71,7,8.7,6
Battlefield Vietnam,PC,8.2,2004,3,16,14658,Shooter,Electronic Arts,0.0,0.02,0.0,0.0,0.03,84,48,7.5,133
Painkiller,PC,7.0,2004,4,12,15254,Shooter,DreamCatcher Interactive,0.0,0.02,0.0,0.0,0.02,81,62,8.1,284
Harry Potter and the Prisoner of Azkaban,PC,6.0,2004,6,9,13907,Action,Electronic Arts,0.0,0.03,0.0,0.01,0.04,70,29,8.7,29
Doom 3,PC,8.9,2004,8,5,10574,Shooter,Activision,0.05,0.04,0.0,0.01,0.1,87,83,7.6,896
The Sims 2,PC,9.4,2004,9,10,5871,Simulation,Electronic Arts,0.02,0.24,0.0,0.05,0.3,90,61,8.8,676
Knights of Honor,PC,7.7,2004,10,1,14418,Strategy,Sunflowers,0.0,0.02,0.0,0.01,0.03,77,26,9.1,89
Rome: Total War,PC,9.4,2004,9,22,10489,Strategy,Activision,0.0,0.08,0.0,0.02,0.1,92,58,9.1,1050
"Warhammer 40,000: Dawn of War",PC,8.8,2004,9,20,13141,Strategy,THQ,0.01,0.03,0.0,0.01,0.05,86,51,8.8,295
Evil Genius,PC,7.8,2004,9,28,15915,Strategy,Vivendi Games,0.0,0.01,0.0,0.0,0.02,75,51,8.3,106
Tiger Woods PGA Tour 2005,PC,9.0,2004,9,27,16165,Sports,Electronic Arts,0.0,0.01,0.0,0.0,0.01,88,30,8.2,20
Half-Life 2,PC,9.7,2004,11,15,667,Shooter,Vivendi Games,2.28,0.02,0.08,0.0,2.37,96,81,9.1,8665
Need for Speed Underground 2,PC,9.1,2004,11,12,11666,Racing,Electronic Arts,0.0,0.06,0.0,0.01,0.08,82,39,8.6,132
RollerCoaster Tycoon 3,PC,8.5,2004,10,27,6209,Strategy,Atari,0.01,0.22,0.0,0.05,0.28,81,39,5,346
Colin McRae Rally 2005,PC,9.1,2004,11,19,15788,Racing,Codemasters,0.0,0.01,0.0,0.0,0.02,83,35,7.5,6
Zoo Tycoon 2,PC,7.5,2004,11,17,12552,Strategy,Microsoft Game Studios,0.0,0.05,0.0,0.01,0.06,72,34,8.1,43
World of Warcraft,PC,9.1,2004,12,10,138,Role-Playing,Activision,0.07,6.21,0.0,0.0,6.28,93,57,7.3,2182
Star Wars Knights of the Old Republic II: The Sith Lords,PC,8.7,2005,2,8,12350,Role-Playing,LucasArts,0.01,0.04,0.0,0.01,0.06,,,,
The Sims 2: University,PC,8.5,2005,2,28,12674,Simulation,Electronic Arts,0.01,0.04,0.0,0.01,0.06,81,31,7.8,49
Silent Hunter III,PC,8.8,2005,3,18,11515,Simulation,Ubisoft,0.0,0.07,0.0,0.01,0.08,90,23,7.9,95
LEGO Star Wars: The Video Game,PC,7.8,2005,3,28,15790,Action,Eidos Interactive,0.0,0.01,0.0,0.0,0.02,,,,
SWAT 4,PC,9.0,2005,3,30,14844,Shooter,Vivendi Games,0.0,0.02,0.0,0.0,0.03,85,49,8.6,224
Empire Earth II,PC,8.9,2005,4,25,14411,Strategy,Vivendi Games,0.0,0.03,0.0,0.0,0.03,79,39,7.1,89
Imperial Glory,PC,8.5,2005,6,1,13679,Strategy,Eidos Interactive,0.0,0.04,0.0,0.0,0.04,69,28,8.4,73
Battlefield 2,PC,8.9,2005,6,19,11290,Shooter,Electronic Arts,0.0,0.07,0.0,0.02,0.08,91,55,8.4,837
Grand Theft Auto: San Andreas,PC,9.3,2005,6,7,2122,Action,Take-Two Interactive,0.0,0.92,0.0,0.05,0.98,93,58,8.6,118
Guild Wars,PC,9.0,2005,5,11,14799,Role-Playing,NCSoft,0.02,0.0,0.0,0.0,0.03,89,53,8.4,455
Dungeon Siege II,PC,8.5,2005,8,15,14839,Role-Playing,Microsoft Game Studios,0.0,0.02,0.0,0.0,0.03,80,51,7.9,159
Fable: The Lost Chapters,PC,8.7,2005,9,16,11946,Role-Playing,Microsoft Game Studios,0.01,0.05,0.0,0.01,0.07,83,54,8.7,489
Indigo Prophecy,PC,8.4,2005,9,20,15203,Adventure,Atari,0.0,0.02,0.0,0.0,0.02,83,47,7.8,104
The Sims 2: Nightlife,PC,8.2,2005,9,12,1554,Simulation,Electronic Arts,1.22,0.05,0.0,0.0,1.27,76,31,6.6,71
Black & White 2,PC,8.8,2005,9,28,10952,Strategy,Electronic Arts,0.01,0.07,0.0,0.01,0.09,,,,
Age of Empires III,PC,8.8,2005,10,14,4928,Strategy,Microsoft Game Studios,0.0,0.32,0.0,0.07,0.39,81,52,7.7,519
Quake 4,PC,8.1,2005,10,13,15185,Shooter,Activision,0.0,0.02,0.0,0.0,0.02,75,52,6.7,80
Serious Sam II,PC,8.2,2005,10,11,16006,Shooter,Take-Two Interactive,0.0,0.01,0.0,0.0,0.01,72,34,6.7,11
Sid Meier's Civilization IV,PC,9.4,2005,10,21,8352,Strategy,Take-Two Interactive,0.02,0.12,0.0,0.03,0.17,94,50,8.3,909
Call of Duty 2,PC,8.5,2005,10,25,12410,Shooter,Activision,0.0,0.05,0.0,0.01,0.06,89,65,8.1,307
The Movies,PC,8.0,2005,11,8,13835,Simulation,Activision,0.01,0.03,0.0,0.01,0.04,84,62,8.3,131
Heroes of the Pacific,PC,8.0,2005,11,4,15433,Simulation,Codemasters,0.0,0.02,0.0,0.0,0.02,76,31,8.4,15
Sniper Elite,PC,7.5,2005,11,2,15838,Shooter,MC2 Entertainment,0.0,0.01,0.0,0.0,0.02,76,21,8.9,36
The Incredibles: Rise of the Underminer,PC,6.0,2005,12,1,15822,Action,THQ,0.01,0.0,0.0,0.0,0.02,,,tbd,
Starship Troopers,PC,5.0,2005,12,5,15463,Shooter,Empire Interactive,0.0,0.02,0.0,0.0,0.02,46,18,6.1,29
TOCA Race Driver 3,PC,8.7,2006,2,24,15346,Racing,Codemasters,0.0,0.02,0.0,0.0,0.02,82,26,7.2,15
Star Wars: Empire at War,PC,7.6,2006,2,15,11160,Strategy,LucasArts,0.01,0.06,0.0,0.02,0.09,79,45,8.4,240
Tycoon City: New York,PC,7.0,2006,3,15,15471,Strategy,Atari,0.0,0.02,0.0,0.0,0.02,67,30,8.3,4
The Sims 2: Open for Business,PC,7.8,2006,3,14,3873,Simulation,Electronic Arts,0.46,0.05,0.0,0.0,0.52,78,29,8.6,35
Blazing Angels: Squadrons of WWII,PC,6.8,2006,3,27,15753,Simulation,Ubisoft,0.01,0.0,0.0,0.0,0.02,67,26,6.9,9
The Elder Scrolls IV: Oblivion,PC,9.3,2006,3,24,6507,Role-Playing,Take-Two Interactive,0.01,0.2,0.0,0.05,0.26,94,90,8.7,1109
Tomb Raider: Legend,PC,8.2,2006,4,5,15629,Action,Eidos Interactive,0.0,0.01,0.0,0.0,0.02,82,43,7.1,96
Rise of Nations: Rise of Legends,PC,8.2,2006,5,19,14161,Strategy,Microsoft Game Studios,0.0,0.03,0.0,0.01,0.03,84,46,8.5,108
Hitman: Blood Money,PC,8.0,2006,5,30,14084,Action,Eidos Interactive,0.0,0.03,0.0,0.01,0.04,83,36,8.4,104
Heroes of Might and Magic V,PC,7.8,2006,5,26,13660,Strategy,Ubisoft,0.0,0.03,0.0,0.01,0.04,77,41,7.9,349
Titan Quest,PC,8.1,2006,6,23,12718,Role-Playing,THQ,0.01,0.04,0.0,0.01,0.06,77,51,8.1,387
DarkStar One,PC,8.0,2006,8,23,14056,Simulation,Ubisoft,0.0,0.03,0.0,0.01,0.04,71,33,7.2,54
LEGO Star Wars II: The Original Trilogy,PC,8.0,2006,9,7,15748,Action,Activision,0.0,0.01,0.0,0.0,0.02,84,32,9,41
Just Cause,PC,6.8,2006,9,26,15751,Action,Eidos Interactive,0.0,0.01,0.0,0.0,0.02,73,57,7.2,52
Scarface: The World is Yours,PC,8.7,2006,10,6,13851,Action,Vivendi Games,0.01,0.02,0.0,0.01,0.04,75,46,8.6,113
Scarface: The World is Yours,PC,8.7,2006,10,6,13851,Action,Vivendi Games,0.01,0.02,0.0,0.01,0.04,75,46,8.6,113
Company of Heroes,PC,9.4,2006,9,11,13303,Strategy,THQ,0.0,0.04,0.0,0.01,0.05,93,55,8.8,1128
ParaWorld,PC,7.8,2006,9,28,14933,Strategy,Deep Silver,0.0,0.02,0.0,0.0,0.02,71,29,8.3,23
Battlefield 2142,PC,8.4,2006,10,20,14786,Shooter,Electronic Arts,0.0,0.02,0.0,0.0,0.03,80,48,6.8,326
Caesar IV,PC,7.7,2006,10,17,13871,Strategy,Vivendi Games,0.0,0.03,0.0,0.01,0.04,74,32,7.6,43
