title,platform,score,release_year,release_month,release_day,Rank,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
Command & Conquer: Tiberian Sun,PC,8.0,1999,9,3,1207,Strategy,Westwood Studios,1.55,0.0,0.0,0.0,1.55,,,,
Age of Empires II: The Age of Kings,PC,8.8,1999,10,8,10693,Strategy,Microsoft Game Studios,0.01,0.08,0.0,0.02,0.1,92,21,9,801
Homeworld,PC,9.5,1999,10,1,15137,Strategy,Vivendi Games,0.0,0.02,0.0,0.0,0.02,93,20,9,326
Pharaoh,PC,9.0,1999,11,12,14936,Strategy,Vivendi Games,0.0,0.02,0.0,0.0,0.02,,,8.6,45
Sim Theme Park,PC,8.4,1999,11,19,807,Strategy,Electronic Arts,2.04,0.04,0.0,0.0,2.08,,,8.3,14
Tomb Raider: The Last Revelation,PC,7.0,1999,12,10,4686,Action,Eidos Interactive,0.41,0.0,0.0,0.0,0.41,,,,
Planescape: Torment,PC,9.2,1999,12,17,14073,Role-Playing,Interplay,0.01,0.02,0.0,0.01,0.04,91,22,9.2,813
The Sims,PC,9.5,2000,2,4,13289,Simulation,Electronic Arts,0.01,0.03,0.0,0.01,0.05,92,38,7.9,451
Deus Ex,PC,9.4,2000,6,27,16166,Role-Playing,Eidos Interactive,0.0,0.01,0.0,0.0,0.01,90,28,9.3,1069
StarCraft,PC,9.5,2000,6,2,13231,Strategy,Activision,0.0,0.04,0.0,0.01,0.05,88,15,9.1,813
Diablo II,PC,8.3,2000,7,7,9449,Role-Playing,Havas Interactive,0.01,0.09,0.0,0.02,0.13,88,34,8.8,1056
Command & Conquer: Red Alert 2,PC,9.3,2000,10,24,1465,Strategy,Electronic Arts,1.32,0.02,0.0,0.0,1.34,,,,
The Longest Journey,PC,9.3,2000,11,20,15682,Adventure,Empire Interactive,0.0,0.01,0.0,0.0,0.02,91,26,8.9,439
Airline Tycoon,PC,7.9,2001,2,20,15654,Simulation,Interplay,0.0,0.01,0.0,0.0,0.02,,,8,9
Black & White,PC,9.7,2001,3,27,13632,Strategy,Electronic Arts,0.0,0.04,0.0,0.01,0.04,,,,
Cossacks: European Wars,PC,7.5,2001,4,17,14691,Strategy,Strategy First,0.0,0.02,0.0,0.0,0.03,74,16,8.6,60
The Sims: House Party,PC,7.0,2001,3,30,757,Simulation,Electronic Arts,1.23,0.83,0.0,0.1,2.16,74,17,7.9,30
Microsoft Train Simulator,PC,8.0,2001,6,20,13331,Simulation,Microsoft Game Studios,0.0,0.04,0.0,0.01,0.05,84,16,8.4,21
Worms World Party,PC,8.0,2001,6,18,15780,Strategy,Virgin Interactive,0.0,0.01,0.0,0.0,0.02,75,8,7.6,68
